filename,label
00000.png,3
00001.png,8
00002.png,8
00003.png,0
00004.png,6
00005.png,6
00006.png,1
00007.png,6
00008.png,3
00009.png,1
00010.png,0
00011.png,9
00012.png,5
00013.png,7
00014.png,9
00015.png,8
00016.png,5
00017.png,7
00018.png,8
00019.png,6
00020.png,7
00021.png,0
00022.png,4
00023.png,9
00024.png,5
00025.png,2
00026.png,4
00027.png,0
00028.png,9
00029.png,6
00030.png,6
00031.png,5
00032.png,4
00033.png,5
00034.png,9
00035.png,1
00036.png,4
00037.png,1
00038.png,9
00039.png,5
00040.png,4
00041.png,6
00042.png,5
00043.png,6
00044.png,0
00045.png,9
00046.png,3
00047.png,9
00048.png,7
00049.png,6
00050.png,9
00051.png,8
00052.png,2
00053.png,3
00054.png,8
00055.png,8
00056.png,7
00057.png,3
00058.png,5
00059.png,6
00060.png,7
00061.png,5
00062.png,6
00063.png,3
00064.png,6
00065.png,2
00066.png,1
00067.png,2
00068.png,3
00069.png,7
00070.png,2
00071.png,6
00072.png,8
00073.png,8
00074.png,0
00075.png,2
00076.png,9
00077.png,3
00078.png,3
00079.png,8
00080.png,8
00081.png,1
00082.png,1
00083.png,7
00084.png,2
00085.png,7
00086.png,2
00087.png,7
00088.png,8
00089.png,9
00090.png,0
00091.png,3
00092.png,8
00093.png,6
00094.png,4
00095.png,6
00096.png,6
00097.png,0
00098.png,0
00099.png,7
00100.png,4
00101.png,5
00102.png,6
00103.png,3
00104.png,1
00105.png,1
00106.png,3
00107.png,6
00108.png,8
00109.png,7
00110.png,4
00111.png,0
00112.png,6
00113.png,2
00114.png,1
00115.png,3
00116.png,0
00117.png,4
00118.png,6
00119.png,7
00120.png,8
00121.png,3
00122.png,1
00123.png,2
00124.png,8
00125.png,0
00126.png,8
00127.png,6
00128.png,6
00129.png,2
00130.png,4
00131.png,1
00132.png,8
00133.png,9
00134.png,1
00135.png,2
00136.png,9
00137.png,7
00138.png,2
00139.png,8
00140.png,6
00141.png,5
00142.png,6
00143.png,3
00144.png,8
00145.png,7
00146.png,6
00147.png,2
00148.png,5
00149.png,2
00150.png,0
00151.png,9
00152.png,6
00153.png,0
00154.png,0
00155.png,5
00156.png,2
00157.png,9
00158.png,3
00159.png,4
00160.png,2
00161.png,1
00162.png,6
00163.png,6
00164.png,8
00165.png,2
00166.png,8
00167.png,6
00168.png,5
00169.png,0
00170.png,9
00171.png,6
00172.png,9
00173.png,8
00174.png,9
00175.png,9
00176.png,3
00177.png,7
00178.png,3
00179.png,0
00180.png,0
00181.png,5
00182.png,2
00183.png,6
00184.png,3
00185.png,8
00186.png,6
00187.png,3
00188.png,3
00189.png,0
00190.png,5
00191.png,8
00192.png,0
00193.png,1
00194.png,7
00195.png,4
00196.png,8
00197.png,8
00198.png,7
00199.png,8
00200.png,5
00201.png,1
00202.png,8
00203.png,7
00204.png,1
00205.png,3
00206.png,0
00207.png,5
00208.png,7
00209.png,9
00210.png,7
00211.png,4
00212.png,5
00213.png,9
00214.png,8
00215.png,0
00216.png,7
00217.png,9
00218.png,8
00219.png,2
00220.png,7
00221.png,6
00222.png,9
00223.png,4
00224.png,3
00225.png,9
00226.png,6
00227.png,4
00228.png,3
00229.png,6
00230.png,5
00231.png,1
00232.png,5
00233.png,8
00234.png,8
00235.png,0
00236.png,4
00237.png,0
00238.png,5
00239.png,5
00240.png,1
00241.png,1
00242.png,1
00243.png,9
00244.png,0
00245.png,6
00246.png,1
00247.png,8
00248.png,2
00249.png,2
00250.png,5
00251.png,3
00252.png,9
00253.png,9
00254.png,4
00255.png,0
00256.png,3
00257.png,0
00258.png,0
00259.png,9
00260.png,8
00261.png,1
00262.png,5
00263.png,3
00264.png,8
00265.png,8
00266.png,2
00267.png,4
00268.png,7
00269.png,0
00270.png,2
00271.png,3
00272.png,6
00273.png,3
00274.png,8
00275.png,3
00276.png,0
00277.png,3
00278.png,4
00279.png,3
00280.png,9
00281.png,0
00282.png,6
00283.png,1
00284.png,0
00285.png,9
00286.png,1
00287.png,8
00288.png,7
00289.png,9
00290.png,1
00291.png,2
00292.png,6
00293.png,1
00294.png,3
00295.png,4
00296.png,6
00297.png,0
00298.png,0
00299.png,6
00300.png,6
00301.png,6
00302.png,3
00303.png,2
00304.png,6
00305.png,1
00306.png,9
00307.png,2
00308.png,9
00309.png,4
00310.png,8
00311.png,6
00312.png,0
00313.png,0
00314.png,4
00315.png,0
00316.png,7
00317.png,7
00318.png,5
00319.png,5
00320.png,3
00321.png,5
00322.png,2
00323.png,3
00324.png,4
00325.png,1
00326.png,7
00327.png,5
00328.png,4
00329.png,6
00330.png,1
00331.png,9
00332.png,6
00333.png,6
00334.png,6
00335.png,9
00336.png,3
00337.png,8
00338.png,0
00339.png,7
00340.png,2
00341.png,6
00342.png,2
00343.png,5
00344.png,8
00345.png,5
00346.png,4
00347.png,6
00348.png,8
00349.png,9
00350.png,9
00351.png,1
00352.png,0
00353.png,2
00354.png,2
00355.png,4
00356.png,6
00357.png,2
00358.png,8
00359.png,0
00360.png,9
00361.png,5
00362.png,8
00363.png,1
00364.png,9
00365.png,4
00366.png,1
00367.png,3
00368.png,2
00369.png,1
00370.png,4
00371.png,7
00372.png,9
00373.png,4
00374.png,2
00375.png,7
00376.png,9
00377.png,7
00378.png,8
00379.png,6
00380.png,6
00381.png,9
00382.png,0
00383.png,9
00384.png,2
00385.png,8
00386.png,7
